                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7106,                 2.9688,                 1.5549,                0.00687,                 0.8961,                0.27644,                0.12934,                 1.5104,                 3.1598,                 1.3342,                0.00026,                0.00026,                0.00026
                      2,                 1.4786,                 1.9911,                 1.3754,                0.94406,                0.10962,                0.38154,                0.22447,                 1.4422,                 3.0662,                  1.416,             0.00052664,             0.00052664,             0.00052664
                      3,                 1.4875,                 1.8131,                 1.3649,                0.79701,                0.14286,                0.31975,                0.16735,                 1.6649,                 3.0254,                  1.601,             0.00077941,             0.00077941,             0.00077941
                      4,                 1.4557,                 1.7527,                 1.3606,                0.25687,                0.14935,                0.09426,                0.03869,                 1.9063,                 3.4911,                 2.5212,              0.0010183,              0.0010183,              0.0010183
                      5,                  1.532,                 1.6834,                 1.3835,                0.35202,                0.25325,                0.19556,                0.09442,                 1.9158,                  3.314,                 1.9579,              0.0012434,              0.0012434,              0.0012434
                      6,                 1.4662,                 1.5596,                 1.3393,                0.49155,                0.27273,                0.30042,                0.15843,                 1.8093,                 2.5495,                 1.8221,              0.0014546,              0.0014546,              0.0014546
                      7,                 1.4528,                 1.5396,                 1.3403,                0.47891,                0.48052,                0.46181,                0.27235,                 1.5605,                 2.4622,                 1.6263,              0.0016519,              0.0016519,              0.0016519
                      8,                 1.4719,                 1.5248,                 1.3551,                0.50442,                 0.3961,                0.38894,                0.21734,                 1.6673,                 2.5017,                 1.8371,              0.0016535,              0.0016535,              0.0016535
                      9,                 1.4383,                 1.4249,                 1.3326,                0.47335,                0.40909,                0.39632,                0.23071,                 1.6394,                 2.4064,                 1.6029,              0.0016535,              0.0016535,              0.0016535
                     10,                 1.4119,                 1.4023,                  1.311,                0.50677,                0.40909,                 0.3786,                0.18421,                 1.8928,                 2.2467,                 1.7334,               0.001604,               0.001604,               0.001604
                     11,                 1.4413,                 1.3469,                 1.3466,                0.58814,                0.48052,                0.50051,                0.27492,                 1.7133,                 2.1172,                 1.5961,              0.0015545,              0.0015545,              0.0015545
                     12,                 1.4162,                 1.3113,                 1.3192,                0.60925,                0.44156,                0.46236,                 0.2588,                 1.6263,                 2.5034,                 1.5975,               0.001505,               0.001505,               0.001505
                     13,                 1.3552,                 1.2512,                 1.3043,                0.34327,                0.47403,                0.32267,                0.16876,                 1.7189,                 2.3465,                 1.7612,              0.0014555,              0.0014555,              0.0014555
                     14,                 1.3535,                 1.2272,                 1.2798,                0.51595,                0.46104,                 0.4821,                0.26283,                 1.6183,                 2.0339,                 1.6016,               0.001406,               0.001406,               0.001406
                     15,                 1.3498,                 1.2045,                 1.2727,                0.71267,                0.57984,                0.62499,                0.35648,                 1.4412,                 1.6096,                 1.5086,              0.0013565,              0.0013565,              0.0013565
                     16,                 1.2919,                  1.166,                 1.2444,                0.75388,                0.55694,                0.62774,                0.37006,                 1.4811,                 1.5504,                 1.4771,               0.001307,               0.001307,               0.001307
                     17,                 1.3233,                 1.1695,                 1.2643,                0.52698,                0.52597,                 0.5234,                0.30205,                 1.5319,                 2.0058,                 1.5564,              0.0012575,              0.0012575,              0.0012575
                     18,                  1.294,                 1.1456,                 1.2512,                0.64247,                0.66883,                0.65716,                0.39422,                 1.4315,                 1.3805,                 1.4448,               0.001208,               0.001208,               0.001208
                     19,                  1.301,                 1.0994,                 1.2343,                0.62573,                0.66234,                0.64744,                0.40112,                 1.3429,                 1.3967,                  1.357,              0.0011585,              0.0011585,              0.0011585
                     20,                 1.2665,                 1.0668,                 1.2246,                0.66807,                0.62987,                  0.656,                0.40722,                 1.3709,                 1.3543,                 1.3886,               0.001109,               0.001109,               0.001109
                     21,                 1.2348,                 1.0254,                 1.2054,                0.69579,                0.57792,                0.63803,                 0.3609,                 1.3976,                 1.6055,                  1.416,              0.0010595,              0.0010595,              0.0010595
                     22,                 1.2367,                 1.0187,                 1.2133,                0.68819,                0.70779,                 0.6781,                0.41893,                 1.3452,                 1.3643,                 1.3601,                0.00101,                0.00101,                0.00101
                     23,                 1.2032,                0.98675,                  1.191,                0.74524,                0.66883,                 0.7346,                0.43937,                 1.3559,                 1.2867,                 1.3509,              0.0009605,              0.0009605,              0.0009605
                     24,                 1.2126,                0.97163,                 1.1927,                0.69428,                0.73377,                0.73364,                0.46462,                 1.2722,                 1.1669,                 1.3297,               0.000911,               0.000911,               0.000911
                     25,                 1.2086,                0.97289,                 1.2013,                0.65665,                0.67532,                0.69044,                0.44184,                  1.317,                 1.2776,                 1.3691,              0.0008615,              0.0008615,              0.0008615
                     26,                 1.1579,                0.93611,                 1.1751,                0.75284,                0.65273,                0.73389,                0.46299,                 1.2739,                 1.2125,                  1.332,               0.000812,               0.000812,               0.000812
                     27,                 1.1415,                0.91083,                 1.1658,                0.70587,                0.71684,                0.75058,                0.45908,                 1.3203,                 1.1426,                 1.3508,              0.0007625,              0.0007625,              0.0007625
                     28,                 1.1411,                0.88531,                 1.1516,                0.76769,                0.72078,                0.76113,                0.48948,                 1.2466,                 1.1019,                 1.3287,               0.000713,               0.000713,               0.000713
                     29,                 1.1483,                  0.909,                 1.1707,                0.81855,                0.64286,                0.75092,                0.46578,                 1.2572,                 1.1492,                 1.3347,              0.0006635,              0.0006635,              0.0006635
                     30,                 1.0921,                0.86766,                 1.1374,                0.80344,                0.69013,                0.73471,                0.45257,                   1.31,                 1.1687,                 1.3569,               0.000614,               0.000614,               0.000614
                     31,                 1.0752,                0.91341,                  1.126,                 0.8046,                0.67532,                0.73964,                0.46477,                 1.3326,                 1.2089,                 1.3796,              0.0005645,              0.0005645,              0.0005645
                     32,                 1.0282,                0.81198,                 1.1021,                0.87318,                0.62594,                0.75793,                0.48482,                 1.2614,                 1.1154,                 1.3783,               0.000515,               0.000515,               0.000515
                     33,                 1.0239,                0.76226,                 1.0865,                0.79092,                 0.7013,                0.75593,                0.49898,                  1.225,                 1.1258,                 1.3023,              0.0004655,              0.0004655,              0.0004655
                     34,                0.98444,                0.73034,                 1.0767,                0.75756,                0.68989,                0.73897,                0.48531,                 1.2335,                 1.1417,                 1.3146,               0.000416,               0.000416,               0.000416
                     35,                0.97756,                0.72411,                 1.0655,                 0.7629,                0.67532,                0.75718,                0.48198,                 1.2836,                 1.1039,                 1.3574,              0.0003665,              0.0003665,              0.0003665
                     36,                 0.9715,                0.68924,                 1.0669,                0.81667,                0.69424,                0.77759,                0.50554,                  1.244,                 1.0455,                 1.3288,               0.000317,               0.000317,               0.000317
                     37,                0.94263,                0.69821,                 1.0572,                0.68571,                0.75974,                0.76785,                0.50221,                 1.2185,                 1.0466,                  1.318,              0.0002675,              0.0002675,              0.0002675
                     38,                0.94094,                0.67215,                 1.0454,                0.77071,                 0.7203,                0.78748,                0.51749,                 1.2567,                 1.0424,                 1.3056,               0.000218,               0.000218,               0.000218
                     39,                0.91121,                0.64996,                 1.0415,                0.78728,                0.72727,                0.78918,                 0.5177,                 1.2325,                 1.0207,                 1.3259,              0.0001685,              0.0001685,              0.0001685
                     40,                0.91809,                0.63633,                 1.0398,                0.80789,                0.73377,                0.79084,                0.51942,                 1.2507,                 1.0126,                 1.3379,               0.000119,               0.000119,               0.000119
